# provenance: CANONICAL Apple M4 sweep: secret-fraction crossover, both lanes, 4 arms. The paper figure's y is ipc_ovh_pct (nodit ipc / arm ipc - 1), the same quantity the gem5 figure plots; vs_base_pct is the cycles ratio. pub_* columns are the same arm with --nosecret, i.e. the PUBLIC lane alone, which is where blanket's whole bill comes from
# run 2026-09-08T00:56:33-0500 on bellingham.csres.utexas.edu (Apple M4, kernel 24.6.0); unrooted, thread NOT pinned -- samples that migrated are rejected by the implied-clock gate and counted in the rejects column
# clang from llvm-data-independent-timing 81782113460d; driver sha256 c91bc6f061649111.., byte-identical to gem5-DIT's benchmarks/signed_lookup/signed_lookup_gem5.c at the pinned commit, with utils/dit_host_screening/signed_lookup/silicon/hdr_const_param.patch applied (HDR_CONST becomes a -D; no other change)
# libsodium 1.0.21 --disable-asm -march=armv8.4-a; arms base / taint / taintnop from utils/taint_libsodium_arms.sh at the shipped defaults (callee contract, DIT twins, contract fixpoint seeds, owned list)
# instrument: PMC0 (cycles, bare) and PMC1 (instructions, isb-ordered) read from EL0; CNTVCT_EL0 at 1 GHz gives the implied clock, and a sample outside 3.4-5.0 GHz is rejected as a thread migration and counted
# lane: HDR_CONST is the value every record header holds. wide = 0x2545F4914F6CDD1D (62 bits), the value every gem5 sweep used; narrow = 0xCAFEBABE (32 bits). This machine's load value predictor holds 36 bits (m4_header_width.csv), so it predicts the narrow header and not the wide one
# one serialising `msr DIT` on this part: 33.51 cycles (11.50 for a same-value write), measured by dit_switch_cost.c in this run
# cycles = median of the FAST cluster of n valid samples. Once the tables leave L1 a run's cycles come out bimodal ~15% apart on the physical pages the kernel hands the BSS; n_hi counts the slow-cluster samples, which are kept in the JSONL and excluded from the median. Below 128 KB of table there is no split and this is the plain median.
lane,L,pred_q4,tblbits,f_secret_pct,arm,requests,cycles,insts,ipc,cyc_per_request,vs_base_pct,ipc_ovh_pct,ins_vs_base_per_req,dit_cyc_per_req,switches_per_req,pub_cycles,pub_insts,pub_ipc,pub_vs_base_pct,pub_cyc_per_lookup,n,n_all,n_hi,lottery_gap,rejects,spread_pct,warmup,checksum_pub
narrow,50,3,9,73.46,pass,94027,275455527.0,543065755.0,1.9715,2929.5,82.07,79.76,73.23,1345.8,40.2,40136976.0,72218571.0,1.7993,-0.05,8.537,15,15,0,1.0,1,1.04,70520,4333465135652281426
narrow,50,3,9,73.46,nop,94027,148910002.0,543033974.0,3.6467,1583.7,-1.58,-2.82,72.9,,,40160323.0,72221594.0,1.7983,0.01,8.542,15,15,0,1.0,0,2.48,70520,4333465135652281426
narrow,100,3,9,52.0,nodit,76255,174197825.0,488060049.0,2.8018,2284.4,0.0,0.0,0.0,,,83620632.0,111811757.0,1.3371,0.0,10.966,15,15,0,1.0,0,1.71,57191,9112442194085627681
narrow,100,3,9,52.0,blanket,76255,207106420.0,488082067.0,2.3567,2716.0,18.89,18.89,0.29,,,111628811.0,111815587.0,1.0017,33.49,14.639,15,15,0,1.0,0,1.57,57191,9112442194085627681
narrow,100,3,9,52.0,pass,76255,275148672.0,493667136.0,1.7942,3608.3,57.95,56.16,73.53,1348.7,40.2,83183426.0,111807138.0,1.3441,-0.52,10.909,15,15,0,1.0,0,1.09,57191,9112442194085627681
narrow,100,3,9,52.0,nop,76255,172301367.0,493628172.0,2.8649,2259.5,-1.09,-2.2,73.02,,,83600841.0,111808737.0,1.3374,-0.02,10.963,15,15,0,1.0,0,1.66,57191,9112442194085627681
narrow,200,3,9,32.01,nodit,48601,175227246.0,379124800.0,2.1636,3605.4,0.0,0.0,0.0,,,119145334.0,139312590.0,1.1693,0.0,12.257,15,15,0,1.0,1,1.35,36451,16930008396549013905
narrow,200,3,9,32.01,blanket,48601,222724181.0,379131843.0,1.7022,4582.7,27.11,27.1,0.14,,,159637317.0,139327532.0,0.8728,33.99,16.423,15,15,0,1.0,0,0.98,36451,16930008396549013905
narrow,200,3,9,32.01,pass,48601,241559504.0,382681300.0,1.5842,4970.3,37.85,36.57,73.18,1355.5,40.5,119143069.0,139313743.0,1.1693,-0.0,12.257,15,15,0,1.0,0,0.47,36451,16930008396549013905
narrow,200,3,9,32.01,nop,48601,175680551.0,382668512.0,2.1782,3614.8,0.26,-0.67,72.91,,,119140920.0,139318387.0,1.1694,-0.0,12.257,15,15,0,1.0,0,1.24,36451,16930008396549013905
narrow,400,3,9,18.66,nodit,27815,176563150.0,294880619.0,1.6701,6347.8,0.0,0.0,0.0,,,143624410.0,157627056.0,1.0975,0.0,12.909,15,15,0,1.0,1,0.67,20861,11692126268831845563
narrow,400,3,9,18.66,blanket,27815,229090185.0,294886785.0,1.2872,8236.2,29.75,29.75,0.22,,,193020339.0,157644885.0,0.8167,34.39,17.349,15,15,0,1.0,1,0.54,20861,11692126268831845563
narrow,400,3,9,18.66,pass,27815,213328955.0,296921073.0,1.3918,7669.6,20.82,19.99,73.36,1340.3,40.0,143638989.0,157626114.0,1.0974,0.01,12.91,15,15,0,1.0,1,0.38,20861,11692126268831845563
narrow,400,3,9,18.66,nop,27815,176049625.0,296909395.0,1.6865,6329.3,-0.29,-0.97,72.94,,,143640149.0,157625549.0,1.0974,0.01,12.91,15,15,0,1.0,0,0.72,20861,11692126268831845563
narrow,700,3,9,11.34,nodit,16865,175677862.0,249640617.0,1.421,10416.7,0.0,0.0,0.0,,,155759077.0,166424584.0,1.0685,0.0,13.194,15,15,0,1.0,0,0.54,12649,15938225188491722181
narrow,700,3,9,11.34,blanket,16865,231348839.0,249648879.0,1.0791,13717.7,31.69,31.68,0.49,,,209600581.0,166440138.0,0.7941,34.57,17.754,15,15,0,1.0,0,0.58,12649,15938225188491722181
narrow,700,3,9,11.34,pass,16865,198200319.0,250880621.0,1.2658,11752.2,12.82,12.26,73.53,1325.7,39.6,155716014.0,166424199.0,1.0688,-0.03,13.19,15,15,0,1.0,0,0.33,12649,15938225188491722181
narrow,700,3,9,11.34,nop,16865,175842788.0,250878066.0,1.4267,10426.5,0.09,-0.4,73.37,,,155743535.0,166425759.0,1.0686,-0.01,13.192,15,15,0,1.0,0,0.4,12649,15938225188491722181
narrow,1000,3,9,8.14,nodit,12137,175847395.0,230638116.0,1.3116,14488.5,0.0,0.0,0.0,,,161533694.0,170758044.0,1.0571,0.0,13.309,15,15,0,1.0,0,0.42,9103,15854015886178946982
narrow,1000,3,9,8.14,blanket,12137,233048170.0,230651770.0,0.9897,19201.5,32.53,32.52,1.12,,,217355677.0,170772177.0,0.7857,34.56,17.909,15,15,0,1.0,1,0.34,9103,15854015886178946982
narrow,1000,3,9,8.14,pass,12137,192015718.0,231527834.0,1.2058,15820.7,9.19,8.77,73.31,1327.1,39.6,161559014.0,170756579.0,1.0569,0.02,13.311,15,15,0,1.0,0,0.31,9103,15854015886178946982
narrow,1000,3,9,8.14,nop,12137,175909204.0,231524988.0,1.3162,14493.6,0.04,-0.35,73.07,,,161560644.0,170761714.0,1.057,0.02,13.311,15,15,0,1.0,1,0.33,9103,15854015886178946982
narrow,2000,3,9,4.02,nodit,6219,174281863.0,205264360.0,1.1778,28024.1,0.0,0.0,0.0,,,167271768.0,174579780.0,1.0437,0.0,13.448,15,15,0,1.0,1,0.26,4664,11731462780715919280
narrow,2000,3,9,4.02,blanket,6219,232960383.0,205290547.0,0.8812,37459.5,33.67,33.65,4.21,,,225062842.0,174601650.0,0.7758,34.55,18.095,15,15,0,1.0,0,0.32,4664,11731462780715919280
narrow,2000,3,9,4.02,pass,6219,182828142.0,205720116.0,1.1252,29398.3,4.9,4.67,73.28,1327.6,39.6,167289382.0,174586130.0,1.0436,0.01,13.45,15,15,0,1.0,1,0.25,4664,11731462780715919280
narrow,2000,3,9,4.02,nop,6219,174571784.0,205720154.0,1.1784,28070.7,0.17,-0.06,73.29,,,167248616.0,174587602.0,1.0439,-0.01,13.447,15,15,0,1.0,0,0.31,4664,11731462780715919280
narrow,5000,3,9,1.63,nodit,2560,176083761.0,192035992.0,1.0906,68782.7,0.0,0.0,0.0,,,173209275.0,179400733.0,1.0357,0.0,13.532,15,15,0,1.0,0,0.19,1920,4143929271610389041
narrow,5000,3,9,1.63,blanket,2560,236231411.0,192048850.0,0.813,92277.9,34.16,34.15,5.02,,,232967337.0,179415871.0,0.7701,34.5,18.201,15,15,0,1.0,2,0.26,1920,4143929271610389041
narrow,5000,3,9,1.63,pass,2560,179448702.0,192210194.0,1.0711,70097.1,1.91,1.82,68.05,1306.1,39.0,173069742.0,179390261.0,1.0365,-0.08,13.521,15,15,0,1.0,0,0.2,1920,4143929271610389041
narrow,5000,3,9,1.63,nop,2560,176105072.0,192222807.0,1.0915,68791.0,0.01,-0.09,72.97,,,173051703.0,179386944.0,1.0366,-0.09,13.52,15,15,0,1.0,1,0.16,1920,4143929271610389041
narrow,20000,3,9,0.37,nodit,644,175578915.0,183577156.0,1.0456,272638.1,0.0,0.0,0.0,,,174934200.0,180404852.0,1.0313,0.0,13.582,15,15,0,1.0,0,0.2,483,5234615775661279970
narrow,20000,3,9,0.37,blanket,644,235941969.0,183586055.0,0.7781,366369.5,34.38,34.37,13.82,,,235113499.0,180408065.0,0.7673,34.4,18.254,15,15,0,1.0,0,0.22,483,5234615775661279970
narrow,20000,3,9,0.37,pass,644,176473031.0,183622659.0,1.0405,274026.4,0.51,0.48,70.66,1353.1,40.4,174883809.0,180401430.0,1.0316,-0.03,13.578,15,15,0,1.0,0,0.12,483,5234615775661279970
narrow,20000,3,9,0.37,nop,644,175601637.0,183626634.0,1.0457,272673.3,0.01,-0.01,76.83,,,174882696.0,180403042.0,1.0316,-0.03,13.578,15,15,0,1.0,1,0.1,483,5234615775661279970
wide,10,3,9,94.91,nodit,155793,173160860.0,801117031.0,4.6264,1111.5,0.0,0.0,0.0,,,8822281.0,32405352.0,3.6731,0.0,5.663,15,15,0,1.0,0,2.77,116845,10670782380977606497
wide,10,3,9,94.91,blanket,155793,173984834.0,801126543.0,4.6046,1116.8,0.48,0.47,0.06,,,8854503.0,32405351.0,3.6598,0.37,5.684,15,15,0,1.0,0,3.11,116845,10670782380977606497
wide,10,3,9,94.91,pass,155793,380061696.0,812545980.0,2.1379,2439.5,119.48,116.4,73.36,1317.3,39.3,8818824.0,32405351.0,3.6746,-0.04,5.661,15,15,0,1.0,0,1.41,116845,10670782380977606497
wide,10,3,9,94.91,nop,155793,174838131.0,812497697.0,4.6471,1122.2,0.97,-0.45,73.05,,,8818174.0,32405351.0,3.6748,-0.05,5.66,15,15,0,1.0,0,2.72,116845,10670782380977606497
wide,30,3,9,81.75,nodit,121423,178483761.0,658393961.0,3.6888,1469.9,0.0,0.0,0.0,,,32573274.0,59263281.0,1.8194,0.0,8.942,15,15,0,1.0,0,2.62,91067,5560525538077071916
wide,30,3,9,81.75,blanket,121423,179860748.0,658388041.0,3.6605,1481.3,0.77,0.77,-0.05,,,32577181.0,59264944.0,1.8192,0.01,8.943,15,15,0,1.0,1,2.83,91067,5560525538077071916
wide,30,3,9,81.75,pass,121423,342525631.0,667291783.0,1.9482,2820.9,91.91,89.35,73.28,1340.2,40.0,32585270.0,59263282.0,1.8187,0.04,8.945,15,15,0,1.0,0,1.03,91067,5560525538077071916
wide,30,3,9,81.75,nop,121423,179798228.0,667250546.0,3.7111,1480.8,0.74,-0.6,72.94,,,32595662.0,59263313.0,1.8181,0.07,8.948,15,15,0,1.0,0,2.58,91067,5560525538077071916
wide,50,3,9,69.57,nodit,94386,173308921.0,538221507.0,3.1056,1836.2,0.0,0.0,0.0,,,52731695.0,72507353.0,1.375,0.0,11.174,15,15,0,1.0,0,2.01,70789,1273925707670783352
wide,50,3,9,69.57,blanket,94386,174283172.0,538219049.0,3.0882,1846.5,0.56,0.56,-0.03,,,52670582.0,72507322.0,1.3766,-0.12,11.161,15,15,0,1.0,1,2.26,70789,1273925707670783352
wide,50,3,9,69.57,pass,94386,299104322.0,545137417.0,1.8226,3168.9,72.58,70.39,73.27,1357.4,40.5,52682391.0,72504347.0,1.3763,-0.09,11.163,15,15,0,1.0,2,1.03,70789,1273925707670783352
wide,50,3,9,69.57,nop,94386,170982256.0,545111797.0,3.1881,1811.5,-1.34,-2.59,73.0,,,52717931.0,72502709.0,1.3753,-0.03,11.171,15,15,0,1.0,0,2.15,70789,1273925707670783352
wide,100,3,9,46.31,nodit,63529,172192226.0,406624833.0,2.3615,2710.5,0.0,0.0,0.0,,,92446263.0,93149311.0,1.0076,0.0,14.552,15,15,0,1.0,0,1.59,47646,7370071023129198262
wide,100,3,9,46.31,blanket,63529,175009595.0,406619898.0,2.3234,2754.8,1.64,1.64,-0.08,,,92491245.0,93155623.0,1.0072,0.05,14.559,15,15,0,1.0,0,1.72,47646,7370071023129198262
wide,100,3,9,46.31,pass,63529,259192409.0,411277764.0,1.5868,4079.9,50.53,48.82,73.24,1361.4,40.6,92801825.0,93156726.0,1.0038,0.38,14.608,15,15,0,1.0,0,1.11,47646,7370071023129198262
wide,100,3,9,46.31,nop,63529,172703083.0,411256319.0,2.3813,2718.5,0.3,-0.83,72.9,,,92570172.0,93150822.0,1.0063,0.13,14.571,15,15,0,1.0,1,1.73,47646,7370071023129198262
wide,200,3,9,27.74,nodit,38652,175697938.0,301519552.0,1.7161,4545.6,0.0,0.0,0.0,,,126956362.0,110808438.0,0.8728,0.0,16.423,15,15,0,1.0,0,1.01,28989,13393047513786420616
wide,200,3,9,27.74,blanket,38652,177175672.0,301523424.0,1.7018,4583.9,0.84,0.84,0.1,,,126975115.0,110808496.0,0.8727,0.01,16.425,15,15,0,1.0,1,0.91,28989,13393047513786420616
wide,200,3,9,27.74,pass,38652,228760927.0,304363689.0,1.3305,5918.5,30.2,28.98,73.58,1371.7,40.9,126965349.0,110807099.0,0.8727,0.01,16.424,15,15,0,1.0,0,0.57,28989,13393047513786420616
wide,200,3,9,27.74,nop,38652,175741329.0,304341240.0,1.7318,4546.8,0.02,-0.9,73.0,,,127044815.0,110808714.0,0.8722,0.07,16.434,15,15,0,1.0,0,1.03,28989,13393047513786420616
wide,400,3,9,15.64,nodit,21450,176477463.0,227410444.0,1.2886,8227.4,0.0,0.0,0.0,,,148869440.0,121568257.0,0.8166,0.0,17.351,15,15,0,1.0,1,0.78,16087,15840146343947561554
wide,400,3,9,15.64,blanket,21450,175863195.0,227407539.0,1.2931,8198.8,-0.35,-0.35,-0.14,,,148926227.0,121577208.0,0.8164,0.04,17.357,15,15,0,1.0,2,0.74,16087,15840146343947561554
wide,400,3,9,15.64,pass,21450,205412099.0,228980415.0,1.1147,9576.3,16.4,15.6,73.19,1337.6,39.9,148883841.0,121577240.0,0.8166,0.01,17.352,15,15,0,1.0,0,0.32,16087,15840146343947561554
wide,400,3,9,15.64,nop,21450,176720000.0,228975963.0,1.2957,8238.7,0.14,-0.55,72.98,,,148913517.0,121572877.0,0.8164,0.03,17.356,15,15,0,1.0,1,0.52,16087,15840146343947561554
wide,700,3,9,9.38,nodit,12806,175541072.0,189572449.0,1.0799,13707.7,0.0,0.0,0.0,,,159067763.0,126376690.0,0.7945,0.0,17.745,15,15,0,1.0,0,0.45,9604,15227611633357235560
wide,700,3,9,9.38,blanket,12806,175737652.0,189573420.0,1.0787,13723.1,0.11,0.11,0.08,,,159127153.0,126378204.0,0.7942,0.04,17.751,15,15,0,1.0,1,0.44,9604,15227611633357235560
wide,700,3,9,9.38,pass,12806,192764059.0,190505189.0,0.9883,15052.6,9.81,9.27,72.84,1330.7,39.7,159068121.0,126379692.0,0.7945,0.0,17.745,15,15,0,1.0,0,0.42,9604,15227611633357235560
wide,700,3,9,9.38,nop,12806,175722677.0,190505146.0,1.0841,13721.9,0.1,-0.39,72.83,,,159106446.0,126378041.0,0.7943,0.02,17.749,15,15,0,1.0,1,0.3,9604,15227611633357235560
wide,1000,3,9,6.67,nodit,9184,176273710.0,174536640.0,0.9901,19193.6,0.0,0.0,0.0,,,164515107.0,129220071.0,0.7855,0.0,17.913,15,15,0,1.0,0,0.3,6888,216929756133603897
wide,1000,3,9,6.67,blanket,9184,176326659.0,174531716.0,0.9898,19199.3,0.03,0.03,-0.54,,,164484313.0,129221308.0,0.7856,-0.02,17.91,15,15,0,1.0,1,0.43,6888,216929756133603897
wide,1000,3,9,6.67,pass,9184,188656781.0,175200639.0,0.9287,20541.9,7.02,6.62,72.3,1339.8,40.0,164487179.0,129222567.0,0.7856,-0.02,17.91,15,15,0,1.0,0,0.32,6888,216929756133603897
wide,1000,3,9,6.67,nop,9184,176352193.0,175200586.0,0.9935,19202.1,0.04,-0.33,72.29,,,164495583.0,129216353.0,0.7855,-0.01,17.911,15,15,0,1.0,1,0.32,6888,216929756133603897
wide,2000,3,9,3.33,nodit,4703,176049302.0,155232996.0,0.8818,37433.4,0.0,0.0,0.0,,,170190833.0,132030813.0,0.7758,0.0,18.094,15,15,0,1.0,0,0.22,3527,10716072712130193646
wide,2000,3,9,3.33,blanket,4703,176208951.0,155230097.0,0.8809,37467.4,0.09,0.09,-0.62,,,170175615.0,132035343.0,0.7759,-0.01,18.092,15,15,0,1.0,0,0.34,3527,10716072712130193646
wide,2000,3,9,3.33,pass,4703,182595268.0,155581034.0,0.8521,38825.3,3.72,3.49,74.0,1356.2,40.5,170265165.0,132034016.0,0.7755,0.04,18.102,15,15,0,1.0,0,0.26,3527,10716072712130193646
wide,2000,3,9,3.33,nop,4703,176217132.0,155579639.0,0.8829,37469.1,0.1,-0.13,73.71,,,170131571.0,132024664.0,0.776,-0.03,18.088,15,15,0,1.0,2,0.3,3527,10716072712130193646
wide,5000,3,9,1.38,nodit,1908,176078710.0,143142948.0,0.8129,92284.4,0.0,0.0,0.0,,,173653232.0,133722142.0,0.7701,0.0,18.203,15,15,0,1.0,0,0.25,1431,917658139393165364
wide,5000,3,9,1.38,blanket,1908,176062804.0,143137066.0,0.813,92276.1,-0.01,-0.0,-3.08,,,173624886.0,133718485.0,0.7702,-0.02,18.2,15,15,0,1.0,0,0.2,1431,917658139393165364
wide,5000,3,9,1.38,pass,1908,178637693.0,143279395.0,0.8021,93625.6,1.45,1.36,71.51,1345.3,40.1,173657197.0,133718686.0,0.77,0.0,18.203,15,15,0,1.0,1,0.25,1431,917658139393165364
wide,5000,3,9,1.38,nop,1908,176070794.0,143282253.0,0.8138,92280.3,-0.0,-0.1,73.01,,,173627335.0,133713127.0,0.7701,-0.01,18.2,15,15,0,1.0,0,0.25,1431,917658139393165364
wide,20000,3,9,0.31,nodit,480,175824997.0,136838551.0,0.7783,366302.1,0.0,0.0,0.0,,,175274255.0,134471993.0,0.7672,0.0,18.258,15,15,0,1.0,0,0.26,360,13879132483454575819
wide,20000,3,9,0.31,blanket,480,175847620.0,136836374.0,0.7782,366349.2,0.01,0.01,-4.54,,,175238624.0,134468724.0,0.7673,-0.02,18.254,15,15,0,1.0,0,0.25,360,13879132483454575819
wide,20000,3,9,0.31,pass,480,176623204.0,136873755.0,0.7749,367965.0,0.45,0.43,73.34,1594.3,47.6,175273588.0,134471882.0,0.7672,-0.0,18.258,15,15,0,1.0,2,0.27,360,13879132483454575819
wide,20000,3,9,0.31,nop,480,175857961.0,136873545.0,0.7783,366370.8,0.02,-0.01,72.9,,,175296053.0,134469516.0,0.7671,0.01,18.26,15,15,0,1.0,0,0.18,360,13879132483454575819
